address,lat,lng,matched_address,updated_at
嘉義縣水上鄉中正路127號,23.427467,120.399989,嘉義縣水上鄉水頭村11鄰中正路127號,2026-09-13
嘉義縣水上鄉中興路209號,23.429465,120.403283,嘉義縣水上鄉水頭村20鄰中興路209號,2026-09-13
嘉義縣水上鄉大崙村89之13號,23.440892,120.356172,嘉義縣水上鄉大崙村19鄰大崙89號之13,2026-09-13
嘉義縣水上鄉柳林村1701號,23.430738,120.412753,嘉義縣水上鄉柳林村12鄰柳子林1701號,2026-09-13
嘉義縣水上鄉正義路143號,23.428380,120.397766,嘉義縣水上鄉水上村1鄰正義路143號,2026-09-13
嘉義縣水上鄉水上村中正路189號,23.427555,120.397269,嘉義縣水上鄉水上村1鄰中正路189號,2026-09-13
嘉義縣水上鄉進學街45號,23.425320,120.395188,嘉義縣水上鄉水上村16鄰進學街45號,2026-09-13
嘉義縣溪口鄉柴林村柴林腳13號,23.604728,120.373722,嘉義縣溪口鄉柴林村2鄰柴林脚13號,2026-09-13
嘉義縣溪口鄉美南村10鄰天赦12之3號,23.585317,120.374181,嘉義縣溪口鄉美南村10鄰天赦12之3號,2026-09-13
嘉義縣番路鄉下坑村下坑30之10號,23.470543,120.541241,嘉義縣番路鄉下坑村8鄰下坑30之10號,2026-09-13
嘉義縣番路鄉下坑村菜公店101號,23.464498,120.554235,嘉義縣番路鄉下坑村4鄰菜公店101號,2026-09-13
嘉義縣番路鄉觸口村18鄰梅花一路1號,23.446752,120.582915,嘉義縣番路鄉觸口村18鄰梅花一路1號,2026-09-13
