tgos_id,key,address,raw,county,source,method,count,courses
1388,彰化縣田尾鄉柳鳳村民生路2段338號,彰化縣田尾鄉柳鳳村民生路2段338號,彰化縣田尾鄉柳鳳村民生路2段338號,彰化縣,moe-cc-courses,門牌,1,1
1389,彰化縣竹塘鄉成功路85號,彰化縣竹塘鄉成功路85號,彰化縣竹塘鄉成功路85號,彰化縣,moe-cc-courses,門牌,2,1
1390,新北市三重區中寮街57巷18號,新北市三重區中寮街57巷18號,新北市三重區中寮街57巷18號,新北市,moe-cc-courses,門牌,2,1
1391,新北市八里區龍米路2段96號,新北市八里區龍米路2段96號,新北市八里區龍米路二段96號,新北市,moe-cc-courses,門牌,2,1
1391,八里區龍米路2段96號,新北市八里區龍米路2段96號,八里區龍米路二段96號,新北市,moe-cc-sites,門牌,1,0
1392,新北市林口區文化一路1段137號,新北市林口區文化一路1段137號,新北市林口區文化一路一段137號,新北市,moe-cc-courses,門牌,2,1
1393,新北市淡水區三民街2巷6號,新北市淡水區三民街2巷6號,新北市淡水區三民街2巷6號,新北市,moe-cc-sites,門牌,3,1
1393,淡水區三民街2巷6號,新北市淡水區三民街2巷6號,淡水區三民街2巷6號,新北市,moe-cc-sites,門牌,1,0
1394,新北市淡水區新民街1段138巷7號,新北市淡水區新民街1段138巷7號,新北市淡水區新民街一段138巷7號,新北市,moe-cc-sites,門牌,3,1
1394,淡水區新民街1段138巷7號,新北市淡水區新民街1段138巷7號,淡水區新民街一段138巷7號,新北市,moe-cc-sites,門牌,1,0
1395,新北市烏來區忠治里新烏路5段111號,新北市烏來區忠治里新烏路5段111號,新北市烏來區忠治里新烏路5段111號,新北市,moe-cc-sites,門牌,1,1
1396,新北市萬里區瑪鋉路123號,新北市萬里區瑪鋉路123號,新北市萬里區瑪鋉路123號,新北市,moe-cc-sites,門牌,2,1
1397,新竹市中正路96巷16號,新竹市中正路96巷16號,新竹市中正路96巷16號2樓,新竹市,moe-cc-courses,門牌,2,1
1398,新竹市八德路155號,新竹市八德路155號,新竹市八德路155號,新竹市,moe-cc-courses,門牌,2,1
1399,新竹市原興路198號,新竹市原興路198號,新竹市原興路198號,新竹市,moe-cc-courses,門牌,1,1
1399,新竹市原興路198號,新竹市原興路198號,新竹市原興路198號1樓,新竹市,moe-cc-courses,門牌,1,1
1400,新竹市東區民享一街112號,新竹市東區民享一街112號,新竹市東區民享一街112號,新竹市,moe-cc-courses,門牌,1,1
1400,新竹市東區民享一街112號,新竹市東區民享一街112號,新竹市東區民享一街112號土地公廟旁會議室,新竹市,moe-cc-courses,門牌,1,1
1401,新竹市香山區南港街48之1號,新竹市香山區南港街48之1號,新竹市香山區南港街48之1號,新竹市,moe-cc-sites,門牌,2,1
1401,新竹市香山區南港街48之1號,新竹市香山區南港街48之1號,新竹市香山區南港街４８之１號,新竹市,moe-cc-sites,門牌,1,1
1402,新竹市香山區樹下街95號,新竹市香山區樹下街95號,新竹市香山區樹下街95號,新竹市,moe-cc-courses,門牌,2,1
1403,新竹市香山區西濱路4段365號,新竹市香山區西濱路4段365號,新竹市香山區西濱路四段365號,新竹市,moe-cc-courses,門牌,2,1
1404,新竹縣竹東鎮大同路95號,新竹縣竹東鎮大同路95號,新竹縣竹東鎮大同路95號3樓,新竹縣,moe-cc-sites,門牌,1,1
1405,平鎮區平東路203號,桃園市平鎮區平東路203號,平鎮區平東路203號,桃園市,moe-cc-courses,門牌,2,1
1406,平鎮區振平街153號,桃園市平鎮區振平街153號,平鎮區振平街153號,桃園市,moe-cc-courses,門牌,2,1
1407,桃園市桃園區永安北路500號,桃園市桃園區永安北路500號,桃園市桃園區永安北路500號,桃園市,moe-cc-sites,門牌,1,1
1407,桃園市桃園區永安北路500號,桃園市桃園區永安北路500號,桃園市桃園區永安北路500號2樓,桃園市,moe-cc-sites,門牌,1,1
1408,臺中市南屯區水碓巷1號,臺中市南屯區水碓巷1號,臺中市南屯區水碓巷1號,臺中市,moe-cc-courses,門牌,1,1
1408,臺中市南屯區水碓巷1號,臺中市南屯區水碓巷1號,台中市南屯區水碓巷1號,臺中市,moe-cc-courses,門牌,1,1
